character,jp_name,global_release_date
admire_groove,アドマイヤグルーヴ,
admire_vega,アドマイヤベガ,2026-03-05
agnes_digital,アグネスデジタル,2025-11-19
agnes_tachyon,アグネスタキオン,2025-06-26
air_groove,エアグルーヴ,2025-06-26
air_messiah,エアメサイア,
air_shakur,エアシャカール,2026-06-18
almond_eye,アーモンドアイ,
aston_machan,アストンマーチャン,
bamboo_memory,バンブーメモリー,2026-07-07
believe,ビリーヴ,
biko_pegasus,ビコーペガサス,
biwa_hayahide,ビワハヤヒデ,2025-07-10
bubble_gum_fellow,バブルガムフェロー,
buena_vista,ブエナビスタ,
calstone_light_o,カルストンライトオ,
cesario,シーザリオ,
cheval_grand,シュヴァルグラン,
chrono_genesis,クロノジェネシス,
copano_rickey,コパノリッキー,2026-07-16
curren_bouquet_dor,カレンブーケドール,
curren_chan,カレンチャン,2025-07-27
daiichi_ruby,ダイイチルビー,
daitaku_helios,ダイタクヘリオス,
daiwa_scarlet_og,ダイワスカーレット,2025-06-26
daiwa_scarlet_xmas,ダイワスカーレット,
dantsu_flame,ダンツフレーム,
daring_heart,デアリングハート,
dream_journey,ドリームジャーニー,
duramente,ドゥラメンテ,
durandal,デュランダル,
eishin_flash,エイシンフラッシュ,2025-10-30
el_condor_pasa,エルコンドルパサー,2025-06-26
espoir_city,エスポワールシチー,
fenomeno,フェノーメノ,
fine_motion,ファインモーション,2026-01-15
fuji_kiseki_cheer,フジキセキ,
fuji_kiseki_og,フジキセキ,2025-10-02
furioso,フリオーソ,
fusaichi_pandora,フサイチパンドラ,
gentildonna,ジェンティルドンナ,
gold_city_island,ゴールドシチー,
gold_city_og,ゴールドシチー,2025-10-07
gold_ship,ゴールドシップ,
gran_alegria,グランアレグリア,
grass_wonder_ny,グラスワンダー,
grass_wonder_og,グラスワンダー,2025-06-26
haru_urara_ny,ハルウララ,2026-01-29
haru_urara_og,ハルウララ,2025-06-26
hishi_akebono,ヒシアケボノ,2025-11-11
hishi_amazon,ヒシアマゾン,2025-09-17
hishi_miracle,ヒシミラクル,
hokko_tarumae,ホッコータルマエ,
ikuno_dictus,イクノディクタス,
inari_one,イナリワン,2026-05-28
ines_fujin,アイネスフウジン,2026-04-30
jungle_pocket,ジャングルポケット,
katsuragi_ace,カツラギエース,
kawakami_princess,カワカミプリンセス,2025-12-01
king_halo_og,キングヘイロー,2025-06-26
king_halo_wedding,キングヘイロー,
kiseki,キセキ,
kitasan_black,キタサンブラック,2026-03-12
ks_miracle,ケイエスミラクル,
loves_only_you,ラヴズオンリーユー,
lucky_lilac,ラッキーライラック,
manhattan_cafe_og,マンハッタンカフェ,2025-12-08
manhattan_cafe_valen,マンハッタンカフェ,
maruzensky,マルゼンスキー,2025-06-26
marvelous_sunday,マーベラスサンデー,
matikanefukukitaru,マチカネフクキタル,2025-06-26
matikanetannhauser,マチカネタンホイザ,2026-03-12
mayano_top_gun,マヤノトップガン,2025-06-26
meisho_doto,メイショウドトウ,2025-10-21
mejiro_ardan,メジロアルダン,2026-02-25
mejiro_bright,メジロブライト,2026-03-26
mejiro_dober,メジロドーベル,2025-12-28
mejiro_mcqueen,メジロマックイーン,2025-06-26
mejiro_palmer,メジロパーマー,2026-05-10
mejiro_ramonu,メジロラモーヌ,
mejiro_ryan,メジロライアン,2025-06-26
mihono_bourbon,ミホノブルボン,2025-07-02
mr_cb,ミスターシービー,
nakayama_festa,ナカヤマフェスタ,
narita_brian,ナリタブライアン,2025-08-20
narita_taishin,ナリタタイシン,2025-08-03
narita_top_road,ナリタトップロード,
neo_universe,ネオユニヴァース,
nice_nature,ナイスネイチャ,2025-06-26
nishino_flower,ニシノフラワー,2026-04-12
no_reason,ノーリーズン,
north_flight_og,ノースフライト,
north_flight_ballroom,ノースフライト,
oguri_cap_og_xmas,オグリキャップ,2025-06-26
oguri_cap_anime,オグリキャップ,
orfevre,オルフェーヴル,
red_desire,レッドディザイア,
rhein_kraft_og,ラインクラフト,
rhein_kraft_alt,ラインクラフト,
rice_shower,ライスシャワー,2025-06-26
royce_and_royce,ロイスアンドロイス,
sakura_bakushin_o,サクラバクシンオー,2025-06-26
sakura_chiyono_o,サクラチヨノオー,2026-02-11
sakura_laurel,サクラローレル,
satono_crown,サトノクラウン,
satono_diamond,サトノダイヤモンド,2026-03-22
seeking_the_pearl,シーキングザパール,
seiun_sky,セイウンスカイ,2025-09-07
shinko_windy,シンコウウインディ,
silence_suzuka,サイレンススズカ,2025-06-26
sirius_symboli_og,シリウスシンボリ,
sirius_symboli_tl,シリウスシンボリ,
smart_falcon,スマートファルコン,2025-08-11
sounds_of_earth_og,サウンズオブアース,
sounds_of_earth_valen,サウンズオブアース,
special_week,スペシャルウィーク,2025-06-26
stay_gold,ステイゴールド,
still_in_love,スティルインラブ,
super_creek,スーパークリーク,2025-06-26
sweep_tosho,スイープトウショウ,2026-06-04
symboli_kris_s,シンボリクリスエス,
symboli_rudolf,シンボリルドルフ,2025-06-26
taiki_shuttle,タイキシャトル,2025-06-26
tamamo_cross,タマモクロス,2026-01-22
tanino_gimlet,タニノギムレット,
tap_dance_city,タップダンスシチー,
tm_opera_o,テイエムオペラオー,2025-06-26
tokai_teio_og,トウカイテイオー,2025-06-26
tokai_teio_fes,トウカイテイオー,
tosen_jordan_og,トーセンジョーダン,2025-12-18
tosen_jordan_summer,トーセンジョーダン,
transcend,トランセンド,
tsurumaru_tsuyoshi,ツルマルツヨシ,
twin_turbo,ツインターボ,
verxina,ヴィルシーナ,
victoire_pisa,ヴィクトワールピサ,
vivlos,ヴィブロス,
vodka_og,ウオッカ,2025-06-26
vodka_xmas,ウオッカ,
win_variation,ウインバリアシオン,
winning_ticket,ウイニングチケット,2025-06-26
wonder_acute_og,ワンダーアキュート,
wonder_acute_onsen,ワンダーアキュート,
yaeno_muteki,ヤエノムテキ,2026-04-20
yamanin_zephyr,ヤマニンゼファー,
yukino_bijin_og,ユキノビジン,
yukino_bijin_valen,ユキノビジン,
zenno_rob_roy,ゼンノロブロイ,
rulership,ルーラーシップ,
